instance,seed,umm_m_ini,budgetMM,r_1,r_2,budget,eval_ranks,fitness
qap/kra30a.dat,10,10,10,0.2,0.99,400,0,120170.0
qap/kra30a.dat,1,10,10,0.2,0.99,400,0,117170.0
qap/kra30a.dat,2,10,10,0.2,0.99,400,0,113260.0
qap/kra30a.dat,3,10,10,0.2,0.99,400,0,113030.0
qap/kra30a.dat,4,10,10,0.2,0.99,400,0,114050.0
qap/kra30a.dat,5,10,10,0.2,0.99,400,0,117600.0
qap/kra30a.dat,6,10,10,0.2,0.99,400,0,120620.0
qap/kra30a.dat,7,10,10,0.2,0.99,400,0,109340.0
qap/kra30a.dat,8,10,10,0.2,0.99,400,0,115610.0
qap/kra30a.dat,9,10,10,0.2,0.99,400,0,120340.0
qap/kra30a.dat,10,10,10,0.3,0.6,400,0,119260.0
qap/kra30a.dat,1,10,10,0.3,0.6,400,0,119660.0
qap/kra30a.dat,2,10,10,0.3,0.6,400,0,122260.0
qap/kra30a.dat,3,10,10,0.3,0.6,400,0,113170.0
qap/kra30a.dat,4,10,10,0.3,0.6,400,0,121340.0
qap/kra30a.dat,5,10,10,0.3,0.6,400,0,118920.0
qap/kra30a.dat,6,10,10,0.3,0.6,400,0,119860.0
qap/kra30a.dat,7,10,10,0.3,0.6,400,0,115830.0
qap/kra30a.dat,8,10,10,0.3,0.6,400,0,118000.0
qap/kra30a.dat,9,10,10,0.3,0.6,400,0,122100.0
qap/kra30a.dat,10,10,10,0.3,0.7,400,0,116980.0
qap/kra30a.dat,1,10,10,0.3,0.7,400,0,119330.0
qap/kra30a.dat,2,10,10,0.3,0.7,400,0,120820.0
qap/kra30a.dat,3,10,10,0.3,0.7,400,0,112580.0
qap/kra30a.dat,4,10,10,0.3,0.7,400,0,122580.0
qap/kra30a.dat,5,10,10,0.3,0.7,400,0,119020.0
qap/kra30a.dat,6,10,10,0.3,0.7,400,0,119820.0
qap/kra30a.dat,7,10,10,0.3,0.7,400,0,117240.0
qap/kra30a.dat,8,10,10,0.3,0.7,400,0,116500.0
qap/kra30a.dat,9,10,10,0.3,0.7,400,0,121830.0
qap/kra30a.dat,10,10,10,0.3,0.8,400,0,118330.0
qap/kra30a.dat,1,10,10,0.3,0.8,400,0,118530.0
qap/kra30a.dat,2,10,10,0.3,0.8,400,0,119230.0
qap/kra30a.dat,3,10,10,0.3,0.8,400,0,117490.0
qap/kra30a.dat,4,10,10,0.3,0.8,400,0,117860.0
qap/kra30a.dat,5,10,10,0.3,0.8,400,0,121520.0
qap/kra30a.dat,6,10,10,0.3,0.8,400,0,117390.0
qap/kra30a.dat,7,10,10,0.3,0.8,400,0,110160.0
qap/kra30a.dat,8,10,10,0.3,0.8,400,0,118980.0
qap/kra30a.dat,9,10,10,0.3,0.8,400,0,118570.0
qap/kra30a.dat,10,10,10,0.3,0.9,400,0,121690.0
qap/kra30a.dat,1,10,10,0.3,0.9,400,0,113080.0
qap/kra30a.dat,2,10,10,0.3,0.9,400,0,111080.0
qap/kra30a.dat,3,10,10,0.3,0.9,400,0,111860.0
qap/kra30a.dat,4,10,10,0.3,0.9,400,0,110450.0
qap/kra30a.dat,5,10,10,0.3,0.9,400,0,118700.0
qap/kra30a.dat,6,10,10,0.3,0.9,400,0,121970.0
qap/kra30a.dat,7,10,10,0.3,0.9,400,0,112060.0
qap/kra30a.dat,8,10,10,0.3,0.9,400,0,113370.0
qap/kra30a.dat,9,10,10,0.3,0.9,400,0,116710.0
qap/kra30a.dat,10,10,10,0.3,0.99,400,0,115670.0
qap/kra30a.dat,1,10,10,0.3,0.99,400,0,114660.0
qap/kra30a.dat,2,10,10,0.3,0.99,400,0,114130.0
qap/kra30a.dat,3,10,10,0.3,0.99,400,0,113600.0
qap/kra30a.dat,4,10,10,0.3,0.99,400,0,115650.0
qap/kra30a.dat,5,10,10,0.3,0.99,400,0,118420.0
qap/kra30a.dat,6,10,10,0.3,0.99,400,0,117140.0
qap/kra30a.dat,7,10,10,0.3,0.99,400,0,112530.0
qap/kra30a.dat,8,10,10,0.3,0.99,400,0,118260.0
qap/kra30a.dat,9,10,10,0.3,0.99,400,0,111990.0
qap/kra30a.dat,10,10,10,0.4,0.6,400,0,121840.0
qap/kra30a.dat,1,10,10,0.4,0.6,400,0,122330.0
qap/kra30a.dat,2,10,10,0.4,0.6,400,0,116600.0
qap/kra30a.dat,3,10,10,0.4,0.6,400,0,115380.0
qap/kra30a.dat,4,10,10,0.4,0.6,400,0,119580.0
qap/kra30a.dat,5,10,10,0.4,0.6,400,0,122310.0
