,filename,ratio,weight,seed
0,N-t1d200,0.05,0.93555556,0
1,N-t1d500,0.05,0.93555556,0
2,N-t2d200,0.05,0.93555556,0
3,N-be75eec-150,0.05,0.93555556,0
4,N-be75eec-250,0.05,0.93555556,0
5,N-be75np-250,0.05,0.93555556,0
6,N-atp111,0.05,0.93555556,0
7,N-t1d200,0.05,0.93555556,1
8,N-t1d500,0.05,0.93555556,1
9,N-t2d200,0.05,0.93555556,1
10,N-p50-02,0.05,0.93555556,1
11,N-be75eec-150,0.05,0.93555556,1
12,N-be75eec-250,0.05,0.93555556,1
13,N-be75np-250,0.05,0.93555556,1
14,N-atp111,0.05,0.93555556,1
15,N-t1d200,0.05,0.93555556,2
16,N-t1d500,0.05,0.93555556,2
17,N-t2d200,0.05,0.93555556,2
18,N-be75eec-150,0.05,0.93555556,2
19,N-be75eec-250,0.05,0.93555556,2
20,N-be75np-250,0.05,0.93555556,2
21,N-t1d200,0.05,0.93555556,3
22,N-t1d500,0.05,0.93555556,3
23,N-t2d200,0.05,0.93555556,3
24,N-be75eec-150,0.05,0.93555556,3
25,N-be75eec-250,0.05,0.93555556,3
26,N-be75np-250,0.05,0.93555556,3
27,rec31,0.05,0.93555556,3
28,N-t1d200,0.05,0.93555556,4
29,N-t1d500,0.05,0.93555556,4
30,N-t2d200,0.05,0.93555556,4
31,N-be75eec-150,0.05,0.93555556,4
32,N-be75eec-250,0.05,0.93555556,4
33,N-be75np-250,0.05,0.93555556,4
34,N-t1d200,0.05,0.93555556,5
35,N-t1d500,0.05,0.93555556,5
36,N-t2d200,0.05,0.93555556,5
37,N-p50-02,0.05,0.93555556,5
38,N-be75eec-150,0.05,0.93555556,5
39,N-be75eec-250,0.05,0.93555556,5
40,N-be75np-250,0.05,0.93555556,5
41,N-t1d200,0.05,0.93555556,6
42,N-t1d500,0.05,0.93555556,6
43,N-t2d200,0.05,0.93555556,6
44,N-be75eec-150,0.05,0.93555556,6
45,N-be75eec-250,0.05,0.93555556,6
46,N-be75np-250,0.05,0.93555556,6
47,N-atp134,0.05,0.93555556,6
48,rec19,0.05,0.93555556,6
49,rec31,0.05,0.93555556,6
50,N-t1d200,0.05,0.93555556,7
51,N-t1d500,0.05,0.93555556,7
52,N-t2d150,0.05,0.93555556,7
53,N-t2d200,0.05,0.93555556,7
54,N-p50-01,0.05,0.93555556,7
55,N-be75eec-150,0.05,0.93555556,7
56,N-be75np-150,0.05,0.93555556,7
57,N-be75eec-250,0.05,0.93555556,7
58,N-be75np-250,0.05,0.93555556,7
59,N-atp134,0.05,0.93555556,7
60,N-t1d150,0.05,0.93555556,8
61,N-t1d200,0.05,0.93555556,8
62,N-t1d500,0.05,0.93555556,8
63,N-t2d150,0.05,0.93555556,8
64,N-t2d200,0.05,0.93555556,8
65,N-be75eec-150,0.05,0.93555556,8
66,N-be75np-150,0.05,0.93555556,8
67,N-be75eec-250,0.05,0.93555556,8
68,N-be75np-250,0.05,0.93555556,8
69,N-atp134,0.05,0.93555556,8
70,N-t1d150,0.05,0.93555556,9
71,N-t1d200,0.05,0.93555556,9
72,N-t1d500,0.05,0.93555556,9
73,N-t2d150,0.05,0.93555556,9
74,N-t2d200,0.05,0.93555556,9
75,N-be75eec-150,0.05,0.93555556,9
76,N-be75np-150,0.05,0.93555556,9
77,N-be75eec-250,0.05,0.93555556,9
78,N-be75np-250,0.05,0.93555556,9
79,N-atp111,0.05,0.93555556,9
80,N-atp134,0.05,0.93555556,9
81,rec05,0.05,0.93555556,9
82,N-t1d100,0.05,0.66333333,0
83,N-t1d150,0.05,0.66333333,0
84,N-t1d200,0.05,0.66333333,0
85,N-t1d500,0.05,0.66333333,0
86,N-t2d150,0.05,0.66333333,0
87,N-t2d200,0.05,0.66333333,0
88,N-be75eec-150,0.05,0.66333333,0
89,N-be75eec-250,0.05,0.66333333,0
90,N-be75np-250,0.05,0.66333333,0
91,N-t1d200,0.05,0.66333333,1
92,N-t1d500,0.05,0.66333333,1
93,N-t2d200,0.05,0.66333333,1
94,N-be75eec-150,0.05,0.66333333,1
95,N-be75eec-250,0.05,0.66333333,1
96,N-be75np-250,0.05,0.66333333,1
97,N-atp111,0.05,0.66333333,1
98,N-atp134,0.05,0.66333333,1
99,N-t1d200,0.05,0.66333333,2
100,N-t1d500,0.05,0.66333333,2
101,N-t2d200,0.05,0.66333333,2
102,N-be75eec-150,0.05,0.66333333,2
103,N-be75eec-250,0.05,0.66333333,2
104,N-be75np-250,0.05,0.66333333,2
105,N-atp134,0.05,0.66333333,2
106,kra32,0.05,0.66333333,2
107,N-t1d200,0.05,0.66333333,3
108,N-t1d500,0.05,0.66333333,3
109,N-t2d200,0.05,0.66333333,3
110,N-be75eec-150,0.05,0.66333333,3
111,N-be75eec-250,0.05,0.66333333,3
112,N-be75np-250,0.05,0.66333333,3
113,N-atp134,0.05,0.66333333,3
114,rec05,0.05,0.66333333,3
115,N-t1d150,0.05,0.66333333,4
116,N-t1d200,0.05,0.66333333,4
117,N-t1d500,0.05,0.66333333,4
118,N-t2d200,0.05,0.66333333,4
119,N-be75eec-150,0.05,0.66333333,4
120,N-be75np-150,0.05,0.66333333,4
121,N-be75eec-250,0.05,0.66333333,4
122,N-be75np-250,0.05,0.66333333,4
123,N-t1d150,0.05,0.66333333,5
124,N-t1d200,0.05,0.66333333,5
125,N-t1d500,0.05,0.66333333,5
126,N-t2d200,0.05,0.66333333,5
127,N-be75eec-150,0.05,0.66333333,5
128,N-be75eec-250,0.05,0.66333333,5
129,N-be75np-250,0.05,0.66333333,5
130,N-atp134,0.05,0.66333333,5
131,N-t1d150,0.05,0.66333333,6
132,N-t1d200,0.05,0.66333333,6
133,N-t1d500,0.05,0.66333333,6
134,N-t2d150,0.05,0.66333333,6
135,N-t2d200,0.05,0.66333333,6
136,N-be75eec-150,0.05,0.66333333,6
137,N-be75eec-250,0.05,0.66333333,6
138,N-be75np-250,0.05,0.66333333,6
139,N-t1d150,0.05,0.66333333,7
140,N-t1d200,0.05,0.66333333,7
141,N-t1d500,0.05,0.66333333,7
142,N-t2d150,0.05,0.66333333,7
143,N-t2d200,0.05,0.66333333,7
144,N-be75eec-150,0.05,0.66333333,7
145,N-be75eec-250,0.05,0.66333333,7
146,N-be75np-250,0.05,0.66333333,7
147,N-atp134,0.05,0.66333333,7
148,N-t1d150,0.05,0.66333333,8
149,N-t1d200,0.05,0.66333333,8
150,N-t1d500,0.05,0.66333333,8
151,N-t2d200,0.05,0.66333333,8
152,N-be75eec-150,0.05,0.66333333,8
153,N-be75np-150,0.05,0.66333333,8
154,N-be75eec-250,0.05,0.66333333,8
155,N-be75np-250,0.05,0.66333333,8
156,N-atp111,0.05,0.66333333,8
157,N-atp134,0.05,0.66333333,8
158,N-t1d200,0.05,0.66333333,9
159,N-t1d500,0.05,0.66333333,9
160,N-t2d150,0.05,0.66333333,9
161,N-t2d200,0.05,0.66333333,9
162,N-be75eec-150,0.05,0.66333333,9
163,N-be75eec-250,0.05,0.66333333,9
164,N-be75np-250,0.05,0.66333333,9
165,N-atp134,0.05,0.66333333,9
166,rec05,0.05,0.66333333,9
167,N-t1d200,0.05,0.82666667,0
168,N-t1d500,0.05,0.82666667,0
169,N-t2d200,0.05,0.82666667,0
170,N-be75eec-150,0.05,0.82666667,0
171,N-be75eec-250,0.05,0.82666667,0
172,N-be75np-250,0.05,0.82666667,0
173,N-t1d200,0.05,0.82666667,1
174,N-t1d500,0.05,0.82666667,1
175,N-t2d200,0.05,0.82666667,1
176,N-be75eec-150,0.05,0.82666667,1
177,N-be75eec-250,0.05,0.82666667,1
178,N-be75np-250,0.05,0.82666667,1
179,N-t1d200,0.05,0.82666667,2
180,N-t1d500,0.05,0.82666667,2
181,N-t2d200,0.05,0.82666667,2
182,N-be75eec-150,0.05,0.82666667,2
