instance,seed,umm_m_ini,budgetMM,r_1,r_2,budget,eval_ranks,fitness
pfsp/rec05.txt,1,10,,0.2,0.99,400,0,1281.0
pfsp/rec05.txt,10,10,,0.2,0.99,400,0,1276.0
pfsp/rec05.txt,2,10,,0.2,0.99,400,0,1270.0
pfsp/rec05.txt,3,10,,0.2,0.99,400,0,1289.0
pfsp/rec05.txt,4,10,,0.2,0.99,400,0,1274.0
pfsp/rec05.txt,5,10,,0.2,0.99,400,0,1253.0
pfsp/rec05.txt,6,10,,0.2,0.99,400,0,1281.0
pfsp/rec05.txt,7,10,,0.2,0.99,400,0,1281.0
pfsp/rec05.txt,8,10,,0.2,0.99,400,0,1269.0
pfsp/rec05.txt,9,10,,0.2,0.99,400,0,1265.0
pfsp/rec05.txt,1,10,,0.3,0.6,400,0,1357.0
pfsp/rec05.txt,10,10,,0.3,0.6,400,0,1317.0
pfsp/rec05.txt,2,10,,0.3,0.6,400,0,1335.0
pfsp/rec05.txt,3,10,,0.3,0.6,400,0,1312.0
pfsp/rec05.txt,4,10,,0.3,0.6,400,0,1314.0
pfsp/rec05.txt,5,10,,0.3,0.6,400,0,1288.0
pfsp/rec05.txt,6,10,,0.3,0.6,400,0,1306.0
pfsp/rec05.txt,7,10,,0.3,0.6,400,0,1324.0
pfsp/rec05.txt,8,10,,0.3,0.6,400,0,1351.0
pfsp/rec05.txt,9,10,,0.3,0.6,400,0,1338.0
pfsp/rec05.txt,1,10,,0.3,0.7,400,0,1314.0
pfsp/rec05.txt,10,10,,0.3,0.7,400,0,1341.0
pfsp/rec05.txt,2,10,,0.3,0.7,400,0,1333.0
pfsp/rec05.txt,3,10,,0.3,0.7,400,0,1294.0
pfsp/rec05.txt,4,10,,0.3,0.7,400,0,1298.0
pfsp/rec05.txt,5,10,,0.3,0.7,400,0,1296.0
pfsp/rec05.txt,6,10,,0.3,0.7,400,0,1296.0
pfsp/rec05.txt,7,10,,0.3,0.7,400,0,1289.0
pfsp/rec05.txt,8,10,,0.3,0.7,400,0,1325.0
pfsp/rec05.txt,9,10,,0.3,0.7,400,0,1328.0
pfsp/rec05.txt,1,10,,0.3,0.8,400,0,1303.0
pfsp/rec05.txt,10,10,,0.3,0.8,400,0,1306.0
pfsp/rec05.txt,2,10,,0.3,0.8,400,0,1312.0
pfsp/rec05.txt,3,10,,0.3,0.8,400,0,1290.0
pfsp/rec05.txt,4,10,,0.3,0.8,400,0,1293.0
pfsp/rec05.txt,5,10,,0.3,0.8,400,0,1281.0
pfsp/rec05.txt,6,10,,0.3,0.8,400,0,1286.0
pfsp/rec05.txt,7,10,,0.3,0.8,400,0,1292.0
pfsp/rec05.txt,8,10,,0.3,0.8,400,0,1292.0
pfsp/rec05.txt,9,10,,0.3,0.8,400,0,1345.0
pfsp/rec05.txt,1,10,,0.3,0.9,400,0,1273.0
pfsp/rec05.txt,10,10,,0.3,0.9,400,0,1281.0
pfsp/rec05.txt,2,10,,0.3,0.9,400,0,1323.0
pfsp/rec05.txt,3,10,,0.3,0.9,400,0,1313.0
pfsp/rec05.txt,4,10,,0.3,0.9,400,0,1331.0
pfsp/rec05.txt,5,10,,0.3,0.9,400,0,1263.0
pfsp/rec05.txt,6,10,,0.3,0.9,400,0,1283.0
pfsp/rec05.txt,7,10,,0.3,0.9,400,0,1274.0
pfsp/rec05.txt,8,10,,0.3,0.9,400,0,1283.0
pfsp/rec05.txt,9,10,,0.3,0.9,400,0,1322.0
pfsp/rec05.txt,1,10,,0.3,0.99,400,0,1275.0
pfsp/rec05.txt,10,10,,0.3,0.99,400,0,1283.0
pfsp/rec05.txt,2,10,,0.3,0.99,400,0,1289.0
pfsp/rec05.txt,3,10,,0.3,0.99,400,0,1251.0
pfsp/rec05.txt,4,10,,0.3,0.99,400,0,1278.0
pfsp/rec05.txt,5,10,,0.3,0.99,400,0,1266.0
pfsp/rec05.txt,6,10,,0.3,0.99,400,0,1281.0
pfsp/rec05.txt,7,10,,0.3,0.99,400,0,1270.0
pfsp/rec05.txt,8,10,,0.3,0.99,400,0,1275.0
pfsp/rec05.txt,9,10,,0.3,0.99,400,0,1274.0
pfsp/rec05.txt,1,10,,0.1,0.6,400,0,1273.0
pfsp/rec05.txt,10,10,,0.1,0.6,400,0,1296.0
pfsp/rec05.txt,2,10,,0.1,0.6,400,0,1282.0
pfsp/rec05.txt,3,10,,0.1,0.6,400,0,1281.0
pfsp/rec05.txt,4,10,,0.1,0.6,400,0,1269.0
pfsp/rec05.txt,5,10,,0.1,0.6,400,0,1281.0
pfsp/rec05.txt,6,10,,0.1,0.6,400,0,1294.0
pfsp/rec05.txt,7,10,,0.1,0.6,400,0,1273.0
pfsp/rec05.txt,8,10,,0.1,0.6,400,0,1300.0
pfsp/rec05.txt,9,10,,0.1,0.6,400,0,1313.0
pfsp/rec05.txt,1,10,,0.4,0.6,400,0,1367.0
pfsp/rec05.txt,10,10,,0.4,0.6,400,0,1356.0
pfsp/rec05.txt,2,10,,0.4,0.6,400,0,1375.0
pfsp/rec05.txt,3,10,,0.4,0.6,400,0,1347.0
pfsp/rec05.txt,4,10,,0.4,0.6,400,0,1369.0
pfsp/rec05.txt,5,10,,0.4,0.6,400,0,1291.0
