,filename,ratio,weight,seed,min
0,N-atp111,0.1,0.9,7,562.0
1,N-atp111,0.3,0.99,9,569.0
2,N-atp111,0.1,0.99,1,572.0
3,N-atp111,0.1,0.8,9,573.0
4,N-atp111,0.1,0.9,6,579.0
5,N-atp111,0.3,0.99,0,581.0
6,N-atp111,0.2,0.99,6,582.0
7,N-atp111,0.2,0.99,8,582.0
8,N-atp111,0.2,0.99,0,586.0
9,N-atp111,0.1,0.8,4,587.0
10,N-atp111,0.5,0.99,4,590.0
11,N-atp111,0.1,0.99,9,592.0
12,N-atp111,0.2,0.99,5,592.0
13,N-atp111,0.1,0.9,4,593.0
14,N-atp111,0.1,0.99,5,594.0
15,N-atp111,0.4,0.99,6,594.0
16,N-atp111,0.1,0.8,6,595.0
17,N-atp111,0.2,0.9,3,595.0
18,N-atp111,0.1,0.9,3,595.0
19,N-atp111,0.1,0.8,0,595.0
20,N-atp111,0.1,0.9,5,596.0
21,N-atp111,0.2,0.99,9,596.0
22,N-atp111,0.1,0.9,9,596.0
23,N-atp111,0.5,0.99,8,597.0
24,N-atp111,0.4,0.99,3,598.0
25,N-atp111,0.4,0.99,9,598.0
26,N-atp111,0.5,0.99,0,599.0
27,N-atp111,0.3,0.99,2,600.0
28,N-atp111,0.4,0.99,5,600.0
29,N-atp111,0.1,0.9,1,601.0
30,N-atp111,0.3,0.9,8,602.0
31,N-atp111,0.3,0.99,3,602.0
32,N-atp111,0.2,0.9,5,603.0
33,N-atp111,0.4,0.99,0,604.0
34,N-atp111,0.4,0.99,8,606.0
35,N-atp111,0.3,0.99,7,606.0
36,N-atp111,0.2,0.99,7,606.0
37,N-atp111,0.2,0.8,6,606.0
38,N-atp111,0.2,0.99,1,607.0
39,N-atp111,0.1,0.9,8,608.0
40,N-atp111,0.1,0.8,1,608.0
41,N-atp111,0.1,0.8,8,609.0
42,N-atp111,0.3,0.99,5,609.0
43,N-atp111,0.2,0.99,3,609.0
44,N-atp111,0.2,0.9,6,611.0
45,N-atp111,0.1,0.7,5,611.0
46,N-atp111,0.5,0.99,7,612.0
47,N-atp111,0.4,0.99,1,613.0
48,N-atp111,0.1,0.7,7,614.0
49,N-atp111,0.5,0.99,3,614.0
50,N-atp111,0.2,0.99,2,614.0
51,N-atp111,0.1,0.8,2,614.0
52,N-atp111,0.1,0.99,0,616.0
53,N-atp111,0.1,0.99,2,617.0
54,N-atp111,0.2,0.9,4,617.0
55,N-atp111,0.3,0.99,4,617.0
56,N-atp111,0.1,0.6,3,617.0
57,nug12.dat,0.1,0.9,1,618.0
58,N-atp111,0.5,0.99,1,618.0
59,nug12.dat,0.2,0.8,8,618.0
60,N-atp111,0.1,0.9,2,619.0
61,nug12.dat,0.2,0.9,9,620.0
62,nug12.dat,0.3,0.9,4,622.0
63,N-atp111,0.1,0.99,4,622.0
